,match,team,batting_Pos,batsman,out/not out,run,ball,m,fours,sixes,strike_rate,match_id
0,Pakistan Vs England,Pakistan,1,Mohammad Rizwan †,out,15,14,24,0,1,107.14,T20I # 1879
1,Pakistan Vs England,Pakistan,2,Babar Azam (c),out,32,28,58,2,0,114.28,T20I # 1879
2,Pakistan Vs England,Pakistan,3,Mohammad Haris,out,8,12,15,1,0,66.66,T20I # 1879
3,Pakistan Vs England,Pakistan,4,Shan Masood,out,38,28,46,2,1,135.71,T20I # 1879
4,Pakistan Vs England,Pakistan,5,Iftikhar Ahmed,out,0,6,8,0,0,0,T20I # 1879
5,Pakistan Vs England,Pakistan,6,Shadab Khan,out,20,14,26,2,0,142.85,T20I # 1879
6,Pakistan Vs England,Pakistan,7,Mohammad Nawaz,out,5,7,11,0,0,71.42,T20I # 1879
7,Pakistan Vs England,Pakistan,8,Mohammad Wasim,out,4,8,12,0,0,50,T20I # 1879
8,Pakistan Vs England,Pakistan,9,Shaheen Shah Afridi,not out,5,3,8,1,0,166.66,T20I # 1879
9,Pakistan Vs England,Pakistan,10,Haris Rauf,not out,1,1,3,0,0,100,T20I # 1879
10,Pakistan Vs England,England,1,Jos Buttler (c)†,out,26,17,33,3,1,152.94,T20I # 1879
11,Pakistan Vs England,England,2,Alex Hales,out,1,2,6,0,0,50,T20I # 1879
12,Pakistan Vs England,England,3,Phil Salt,out,10,9,16,2,0,111.11,T20I # 1879
13,Pakistan Vs England,England,4,Ben Stokes,not out,52,49,81,5,1,106.12,T20I # 1879
14,Pakistan Vs England,England,5,Harry Brook,out,20,23,36,1,0,86.95,T20I # 1879
15,Pakistan Vs England,England,6,Moeen Ali,out,19,13,30,3,0,146.15,T20I # 1879
16,Pakistan Vs England,England,7,Liam Livingstone,not out,1,1,3,0,0,100,T20I # 1879
17,India Vs England,India,1,KL Rahul,out,5,5,8,1,0,100,T20I # 1878
18,India Vs England,India,2,Rohit Sharma (c),out,27,28,37,4,0,96.42,T20I # 1878
