,match,bowlingTeam,bowler,overs,maiden,runs,wicktes,economy,zeros,fours,sixex,wides,noBalls,match_id
0,Pakistan Vs England,Pakistan,Ben Stokes,4,0,32,1,8,6,1,0,2,1,T20I # 1879
1,Pakistan Vs England,Pakistan,Chris Woakes,3,0,26,0,8.66,7,2,1,2,0,T20I # 1879
2,Pakistan Vs England,Pakistan,Sam Curran,4,0,12,3,3,15,0,0,0,0,T20I # 1879
3,Pakistan Vs England,Pakistan,Adil Rashid,4,1,22,2,5.5,10,1,0,1,0,T20I # 1879
4,Pakistan Vs England,Pakistan,Chris Jordan,4,0,27,2,6.75,9,3,0,0,0,T20I # 1879
5,Pakistan Vs England,Pakistan,Liam Livingstone,1,0,16,0,16,1,1,1,1,0,T20I # 1879
6,Pakistan Vs England,England,Shaheen Shah Afridi,2.1,0,13,1,6,6,1,0,0,0,T20I # 1879
7,Pakistan Vs England,England,Naseem Shah,4,0,30,0,7.5,15,3,1,1,0,T20I # 1879
8,Pakistan Vs England,England,Haris Rauf,4,0,23,2,5.75,13,3,0,1,0,T20I # 1879
9,Pakistan Vs England,England,Shadab Khan,4,0,20,1,5,10,1,0,0,0,T20I # 1879
10,Pakistan Vs England,England,Mohammad Wasim,4,0,38,1,9.5,5,5,0,2,0,T20I # 1879
11,Pakistan Vs England,England,Iftikhar Ahmed,0.5,0,13,0,15.6,0,1,1,0,0,T20I # 1879
12,India Vs England,India,Ben Stokes,2,0,18,0,9,5,2,1,0,0,T20I # 1878
13,India Vs England,India,Chris Woakes,3,0,24,1,8,5,1,1,2,0,T20I # 1878
14,India Vs England,India,Sam Curran,4,0,42,0,10.5,9,5,2,0,0,T20I # 1878
15,India Vs England,India,Adil Rashid,4,0,20,1,5,8,1,0,0,0,T20I # 1878
16,India Vs England,India,Liam Livingstone,3,0,21,0,7,7,3,0,0,0,T20I # 1878
17,India Vs England,India,Chris Jordan,4,0,43,3,10.75,8,3,3,1,0,T20I # 1878
18,India Vs England,England,Bhuvneshwar Kumar,2,0,25,0,12.5,4,3,1,1,0,T20I # 1878
19,India Vs England,England,Arshdeep Singh,2,0,15,0,7.5,4,2,0,1,0,T20I # 1878
20,India Vs England,England,Axar Patel,4,0,30,0,7.5,10,2,2,0,0,T20I # 1878
